id,nl,fopl_input,fopl_output,status,timestamp
1,A vacation is relaxing if it includes beautiful scenery and enjoyable activities.,∀x (Vacation(x) ∧ Relaxing(x) → (BeautifulScenery(x) ∧ EnjoyableActivities(x))),¬∃x (Vacation(x) ∧ Relaxing(x) ∧ ¬(BeautifulScenery(x) ∧ EnjoyableActivities(x))),success,2026-03-26T04:48:14.453069+00:00
2,"A gemstone can be a diamond, a ruby, or an emerald, but not more than one type of gemstone.",∀x (Gemstone(x) → ((Diamond(x) ∧ ¬(Ruby(x) ∨ Emerald(x))) ∨ (Ruby(x) ∧ ¬(Diamond(x) ∨ Emerald(x))) ∨ (Emerald(x) ∧ ¬(Diamond(x) ∨ Ruby(x))))),∀x (¬Gemstone(x) ∨ ((Diamond(x) ∧ ¬Ruby(x) ∧ ¬Emerald(x)) ∨ (Ruby(x) ∧ ¬Diamond(x) ∧ ¬Emerald(x)) ∨ (Emerald(x) ∧ ¬Diamond(x) ∧ ¬Ruby(x)))),success,2026-03-26T04:48:15.371265+00:00
3,People who speak more than one language are bilingual or multilingual.,∀x (SpeakMultipleLanguages(x) → (Bilingual(x) ∨ Multilingual(x))),∀x (¬SpeakMultipleLanguages(x) ∨ (Bilingual(x) ∨ Multilingual(x))),success,2026-03-26T04:48:16.188145+00:00
4,"An organization is non-profit if it has a charitable mission, does not distribute profits to owners, and primarily relies on donations.",∀x (Organization(x) ∧ CharitableMission(x) ∧ ¬DistributesProfits(x) ∧ ReliesOnDonations(x) → NonProfit(x)),∀x (Organization(x) ∧ CharitableMission(x) ∧ ¬DistributesProfits(x) ∧ ReliesOnDonations(x) → NonProfit(x)),success,2026-03-26T04:48:17.013334+00:00
5,"A flower is characterized as a monocot if it has a single cotyledon, parallel-veined leaves, and flower parts in multiples of three.",∀x (Flower(x) ∧ SingleCotyledon(x) ∧ ParallelVeinedLeaves(x) ∧ FlowerPartsInMultiplesOfThree(x) → Monocot(x)),∀x (¬Flower(x) ∨ ¬SingleCotyledon(x) ∨ ¬ParallelVeinedLeaves(x) ∨ ¬FlowerPartsInMultiplesOfThree(x) ∨ Monocot(x)),success,2026-03-26T04:48:17.815716+00:00
6,"A fabric that is lightweight, breathable, and absorbs moisture is suitable for athletic wear.",∀x (Fabric(x) ∧ Lightweight(x) ∧ Breathable(x) ∧ AbsorbsMoisture(x) → SuitableForAthleticWear(x)),∀x (Fabric(x) ∧ Lightweight(x) ∧ Breathable(x) ∧ AbsorbsMoisture(x) → SuitableForAthleticWear(x)),success,2026-03-26T04:48:18.548561+00:00
7,"A place is considered a library if it houses a collection of books, periodicals, and other media for public use and study.",∀x (Place(x) ∧ HousesCollectionOfMedia(x) ∧ (Books(x) ∨ Periodicals(x) ∨ OtherMedia(x)) ∧ ForPublicUseAndStudy(x) → Library(x)),∀x (Place(x) ∧ HousesCollectionOfMedia(x) ∧ (Books(x) ∨ Periodicals(x) ∨ OtherMedia(x)) ∧ ForPublicUseAndStudy(x) ↔ Library(x)),success,2026-03-26T04:48:19.265981+00:00
8,"Birds possess feathers, have a beak, and lay eggs, while their ability to fly is facilitated by their lightweight bones and specialized muscles.",∀x (Bird(x) → (PossessFeathers(x) ∧ HasBeak(x) ∧ LaysEggs(x) ∧ LightweightBones(x) ∧ SpecializedMuscles(x) ∧ AbilityToFly(x))),¬∃x ¬(Bird(x) → (PossessFeathers(x) ∧ HasBeak(x) ∧ LaysEggs(x) ∧ LightweightBones(x) ∧ SpecializedMuscles(x) ∧ AbilityToFly(x))),success,2026-03-26T04:48:20.388138+00:00
9,A child plays with a toy in a playground.,"∀x∀y∀z (Child(x) ∧ Toy(y) ∧ Playground(z) → PlaysWith(x, y, z))","¬∃x∃y∃z (Child(x) ∧ Toy(y) ∧ Playground(z) ∧ ¬PlaysWith(x, y, z))",success,2026-03-26T04:48:21.201970+00:00
10,A person is considered a physicist if they study the nature and properties of matter and energy.,∀x (Person(x) ∧ StudiesNatureAndPropertiesOfMatterAndEnergy(x) → Physicist(x)),∀x1 (Person(x1) ∧ StudiesNatureAndPropertiesOfMatterAndEnergy(x1) → Physicist(x1)),success,2026-03-26T04:48:22.016139+00:00
11,A well-insulated building conserves energy by maintaining a stable temperature.,∀x (WellInsulatedBuilding(x) → ConservesEnergyByMaintainingStableTemperature(x)),∀x (¬WellInsulatedBuilding(x) ∨ ConservesEnergyByMaintainingStableTemperature(x)),success,2026-03-26T04:48:22.848891+00:00
12,"To be eligible for a promotion, an employee must have worked at the company for at least two years and have a good performance record, unless they have a recommendation from a supervisor.",∀x (Employee(x) ∧ EligibleForPromotion(x) ↔ ((WorkedAtCompanyForTwoYears(x) ∧ GoodPerformanceRecord(x)) ∨ RecommendationFromSupervisor(x))),∀x (Employee(x) ∧ EligibleForPromotion(x) ↔ ((WorkedAtCompanyForTwoYears(x) ∧ GoodPerformanceRecord(x)) ∨ RecommendationFromSupervisor(x))),success,2026-03-26T04:48:23.592175+00:00
13,Not all flowers bloom in spring.,¬∀x (Flower(x) → BloomsInSpring(x)),¬∀x (Flower(x) → BloomsInSpring(x)),success,2026-03-26T04:48:24.175109+00:00
14,A movie is classified as a romantic comedy if it has elements of both romance and comedy.,∀x (Movie(x) ∧ HasRomance(x) ∧ HasComedy(x) → RomanticComedy(x)),∀x1 (Movie(x1) ∧ HasRomance(x1) ∧ HasComedy(x1) → RomanticComedy(x1)),success,2026-03-26T04:48:24.994316+00:00
15,"Chefs prepare meals, waiters serve meals, and customers enjoy meals at a restaurant.","∀x ∀y ∀z (Chef(x) ∧ Waiter(y) ∧ Customer(z) → (PreparesMeals(x) ∧ ServesMeals(y, z) ∧ EnjoysMeals(z)))","¬∃x ¬∀y ¬∀z ¬(Chef(x) ∧ Waiter(y) ∧ Customer(z) → (PreparesMeals(x) ∧ ServesMeals(y, z) ∧ EnjoysMeals(z)))",success,2026-03-26T04:48:25.808638+00:00
16,"If a vehicle can travel on both land and water, it is an amphibious vehicle.",∀x (Vehicle(x) ∧ CanTravelOnLand(x) ∧ CanTravelOnWater(x) → AmphibiousVehicle(x)),¬∃x (Vehicle(x) ∧ CanTravelOnLand(x) ∧ CanTravelOnWater(x) ∧ ¬AmphibiousVehicle(x)),success,2026-03-26T04:48:26.534419+00:00
17,"A tool with a long handle, a flat blade, and is used for lifting and moving loose material is a shovel.","∀x ∀y ∀z (Tool(x) ∧ LongHandle(y) ∧ FlatBlade(z) ∧ Has(x, y) ∧ Has(x, z) ∧ LiftsAndMovesLooseMaterial(x) → Shovel(x))","∀x ∀y ∀z (Tool(x) ∧ LongHandle(y) ∧ FlatBlade(z) ∧ Has(x, y) ∧ Has(x, z) ∧ LiftsAndMovesLooseMaterial(x) ∧ Shovel(x))",success,2026-03-26T04:48:27.314266+00:00
18,A camera can capture photos or record videos.,∀x (Camera(x) → (CapturePhotos(x) ∨ RecordVideos(x))),∀x1 (Camera(x1) → (CapturePhotos(x1) ∨ RecordVideos(x1))),success,2026-03-26T04:48:27.985458+00:00
19,"A balanced diet that includes a variety of fruits, vegetables, and lean proteins can provide essential nutrients and promote overall health and wellness.","∀x∀y∀z (BalancedDiet(x) ∧ VarietyOfFruits(y) ∧ Vegetables(z) ∧ LeanProteins(x) ∧ IncludesElements(x, y, z) → ProvidesEssentialNutrients(x) ∧ PromotesOverallHealthAndWellness(x))","∀x∀y∀z (¬BalancedDiet(x) ∧ VarietyOfFruits(y) ∧ Vegetables(z) ∧ LeanProteins(x) ∧ IncludesElements(x, y, z) → ProvidesEssentialNutrients(x) ∧ PromotesOverallHealthAndWellness(x))",success,2026-03-26T04:48:29.090157+00:00
20,"A vehicle that is designed for traveling on snow, equipped with skis or tracks, and powered by an engine is a snowmobile.",∀x (Vehicle(x) ∧ DesignedForTravelingOnSnow(x) ∧ (EquippedWithSkis(x) ∨ EquippedWithTracks(x)) ∧ PoweredByEngine(x) → Snowmobile(x)),∀x (Vehicle(x) ∧ DesignedForTravelingOnSnow(x) ∧ (EquippedWithSkis(x) ∨ EquippedWithTracks(x)) ∧ PoweredByEngine(x) → Snowmobile(x)),success,2026-03-26T04:48:29.815150+00:00
21,"A sports event could be played indoors or outdoors, not both.",∀x (SportsEvent(x) → (IndoorEvent(x) ⊕ OutdoorEvent(x))),∃x (SportsEvent(x) → (IndoorEvent(x) ⊕ OutdoorEvent(x))),success,2026-03-26T04:48:30.937543+00:00
22,"A product is eco-friendly if it is made from sustainable materials, has a low carbon footprint, or encourages conservation of resources.",∀x (Product(x) ∧ (SustainableMaterials(x) ∨ LowCarbonFootprint(x) ∨ EncouragesConservation(x)) → EcoFriendly(x)),∀x (Product(x) ∧ (SustainableMaterials(x) ∨ LowCarbonFootprint(x) ∨ EncouragesConservation(x)) ∧ EcoFriendly(x)),success,2026-03-26T04:48:31.642053+00:00
23,"A tsunami can be triggered by underwater earthquakes, volcanic eruptions, or landslides, causing a series of massive waves that devastate coastal areas.","∀x (Tsunami(x) → ∃y (UnderwaterEarthquake(y) ∨ VolcanicEruption(y) ∨ Landslide(y)) ∧ Triggers(x, y) ∧ CausesMassiveWaves(x) ∧ DevastatesCoastalAreas(x))","∀x (¬Tsunami(x) ∨ (∃y (UnderwaterEarthquake(y) ∨ VolcanicEruption(y) ∨ Landslide(y)) ∧ Triggers(x, y) ∧ CausesMassiveWaves(x) ∧ DevastatesCoastalAreas(x)))",success,2026-03-26T04:48:32.575943+00:00
24,A device that uses electricity and emits light is a light-emitting device.,∀x (Device(x) ∧ UsesElectricity(x) ∧ EmitsLight(x) → LightEmittingDevice(x)),∀x (¬Device(x) ∨ ¬UsesElectricity(x) ∨ ¬EmitsLight(x) ∨ LightEmittingDevice(x)),success,2026-03-26T04:48:33.389274+00:00
25,"If a person works in the news industry and reports on events, they are considered a journalist.",∀x (WorksInNewsIndustryAndReportsOnEvents(x) → Journalist(x)),∃x (WorksInNewsIndustryAndReportsOnEvents(x) → Journalist(x)),success,2026-03-26T04:48:34.087387+00:00
26,All triangles with equal sides have equal angles.,∀x (Triangle(x) ∧ EqualSides(x) → EqualAngles(x)),∀x (Triangle(x) ∧ EqualSides(x) → EqualAngles(x)),success,2026-03-26T04:48:34.730065+00:00
