id,input_text,generated_fopl,status,timestamp
1,A vacation is relaxing if it includes beautiful scenery and enjoyable activities.,∀x ((IncludesBeautifulScenery(x) ∧ IncludesEnjoyableActivities(x)) → Relaxing(x)),success,2025-12-15T14:08:39.870073+00:00
2,"A gemstone can be a diamond, a ruby, or an emerald, but not more than one type of gemstone.",(∀x (Gemstone(x) → (Diamond(x) ∨ (Ruby(x) ∨ Emerald(x)))) ∧ (Gemstone(x) ∧ ¬((Diamond(x) ∧ Ruby(x)) ∨ (Diamond(x) ∧ Emerald(x))))),success,2025-12-15T14:08:46.558126+00:00
3,People who speak more than one language are bilingual or multilingual.,"∀x ((Speak(x,y) ∧ GreaterThan(y,1)) → (Bilingual(x) ∨ Multilingual(x)))",success,2025-12-15T14:08:50.616351+00:00
4,"An organization is non-profit if it has a charitable mission, does not distribute profits to owners, and primarily relies on donations.",∀x (((CharitableMission(x) ∧ ¬DistributesProfits(x)) ∧ ReliesOnDonations(x)) → NonProfit(x)),success,2025-12-15T14:08:54.975465+00:00
5,"A flower is characterized as a monocot if it has a single cotyledon, parallel-veined leaves, and flower parts in multiples of three.",∀x (Flower(x) → ((SingleCotyledon(x) ∧ ParallelVeinedLeaves(x)) ∧ FlowerPartsInMultiplesOfThree(x))),success,2025-12-15T14:08:59.115119+00:00
6,"A fabric that is lightweight, breathable, and absorbs moisture is suitable for athletic wear.",(((Lightweight(x) ∧ Breathable(x)) ∧ AbsorbsMoisture(x)) → SuitableForAthleticWear(x)),success,2025-12-15T14:09:03.301960+00:00
7,"A place is considered a library if it houses a collection of books, periodicals, and other media for public use and study.",∀x ((Collection(y) ∧ ((Books(y) ∧ Periodicals(y)) ∧ OtherMedia(y))) → Library(x)),success,2025-12-15T14:09:08.840936+00:00
8,"Birds possess feathers, have a beak, and lay eggs, while their ability to fly is facilitated by their lightweight bones and specialized muscles.",∀x (((((PossessFeathers(x) ∧ HaveBeak(x)) ∧ LayEggs(x)) ∧ CanFly(x)) ∧ FacilitatedByLightweightBones(x)) ∧ FacilitatedBySpecializedMuscles(x)),success,2025-12-15T14:09:15.837684+00:00
9,A child plays with a toy in a playground.,"(((Child(x) ∧ Toy(y)) ∧ Playground(z)) ∧ (PlaysWith(x,y) ∧ In(y,z)))",success,2025-12-15T14:09:20.522060+00:00
10,A person is considered a physicist if they study the nature and properties of matter and energy.,"∀x (Studies(x,NatureAndPropertiesOfMatterAndEnergy) → Physicist(x))",success,2025-12-15T14:09:24.204322+00:00
11,A well-insulated building conserves energy by maintaining a stable temperature.,((WellInsulatedBuilding(x) → ConservesEnergy(x)) ∧ (WellInsulatedBuilding(x) → MaintainsStableTemperature(x))),success,2025-12-15T14:09:27.782919+00:00
12,"To be eligible for a promotion, an employee must have worked at the company for at least two years and have a good performance record, unless they have a recommendation from a supervisor.","∀e (¬HasRecommendation(e,r) → (WorkedAtCompanyFor(e,2Years) ∧ GoodPerformance(e)))",success,2025-12-15T14:09:35.570100+00:00
13,Not all flowers bloom in spring.,∃x ¬(Flower(x) → ¬BloomsInSpring(x)),success,2025-12-15T14:09:39.039047+00:00
14,A movie is classified as a romantic comedy if it has elements of both romance and comedy.,"((HasElements(m,r) ∧ HasElements(m,c)) → Movie(m))",success,2025-12-15T14:09:43.352519+00:00
15,"Chefs prepare meals, waiters serve meals, and customers enjoy meals at a restaurant.","(((Chef(x) ∧ Prepare(x,m)) ∧ (Waiter(y) ∧ Serve(y,m))) ∧ (Customer(z) ∧ Enjoy(z,m)))",success,2025-12-15T14:09:50.102568+00:00
16,"If a vehicle can travel on both land and water, it is an amphibious vehicle.",∀x ((CanTravelOnLand(x) ∧ CanTravelOnWater(x)) → AmphibiousVehicle(x)),success,2025-12-15T14:09:54.105292+00:00
17,"A tool with a long handle, a flat blade, and is used for lifting and moving loose material is a shovel.",∀x (Tool(x) → ((LongHandle(x) ∧ FlatBlade(x)) ∧ UsedForLiftingAndMovingLooseMaterial(x))),success,2025-12-15T14:09:58.610587+00:00
18,A camera can capture photos or record videos.,∀x (Camera(x) → (CanCapturePhotos(x) ∨ CanRecordVideos(x))),success,2025-12-15T14:10:02.399213+00:00
19,"A balanced diet that includes a variety of fruits, vegetables, and lean proteins can provide essential nutrients and promote overall health and wellness.","∀x ((Includes(x,y) ∧ ((Fruits(y) ∧ Vegetables(y)) ∧ LeanProteins(y))) → (ProvidesEssentialNutrients(x) ∧ PromotesHealth(x)))",success,2025-12-15T14:10:10.471185+00:00
20,"A vehicle that is designed for traveling on snow, equipped with skis or tracks, and powered by an engine is a snowmobile.",∀x (((DesignedForTravelingOnSnow(x) ∧ EquippedWithSkisOrTracks(x)) ∧ PoweredByEngine(x)) → Snowmobile(x)),success,2025-12-15T14:10:16.326924+00:00
21,"A sports event could be played indoors or outdoors, not both.",∀x ((PlayedIndoors(x) ∨ PlayedOutdoors(x)) → ¬(PlayedIndoors(x) ∧ PlayedOutdoors(x))),success,2025-12-15T14:10:20.938835+00:00
22,"A product is eco-friendly if it is made from sustainable materials, has a low carbon footprint, or encourages conservation of resources.",∀x (Product(x) → ((MadeFromSustainableMaterials(x) ∨ HasLowCarbonFootprint(x)) ∨ EncouragesConservationOfResources(x))),success,2025-12-15T14:10:26.259690+00:00
23,"A tsunami can be triggered by underwater earthquakes, volcanic eruptions, or landslides, causing a series of massive waves that devastate coastal areas.",∀x ((((UnderwaterEarthquake(y) ∨ VolcanicEruption(y)) ∨ Landslide(y)) → CausesMassiveWaves(x)) ∧ (CausesMassiveWaves(x) → DevastatesCoastalAreas(x))),success,2025-12-15T14:10:33.324454+00:00
24,A device that uses electricity and emits light is a light-emitting device.,∀x ((UsesElectricity(x) ∧ EmitsLight(x)) → LightEmittingDevice(x)),success,2025-12-15T14:10:36.804998+00:00
25,"If a person works in the news industry and reports on events, they are considered a journalist.","∀x ((WorksIn(x,NewsIndustry) ∧ ReportsOn(x,Events)) → Considered(x,Journalist))",success,2025-12-15T14:10:40.383379+00:00
26,All triangles with equal sides have equal angles.,∀x (EqualSides(x) → EqualAngles(x)),success,2025-12-15T14:10:43.258450+00:00
27,"Some bicycles are lightweight, durable, and suitable for off-road use.",∃x (Bicycle(x) ∧ ((Lightweight(x) ∧ Durable(x)) ∧ SuitableForOffRoad(x))),success,2025-12-15T14:10:47.039218+00:00
28,A bird flies if it has wings.,∀x (HasWings(x) → Flies(x)),success,2025-12-15T14:10:50.680171+00:00
29,"A garment that is worn on the lower part of the body, has separate openings for each leg, and is made of fabric is a pair of pants or a skirt.",∀x (((WornOnLowerBody(x) ∧ HasSeparateOpeningsForEachLeg(x)) ∧ MadeOfFabric(x)) → (PairOfPants(x) ∨ Skirt(x))),success,2025-12-15T14:10:56.212338+00:00
30,A polygon with three sides and three angles is a triangle.,∀x ((HasThreeSides(x) ∧ HasThreeAngles(x)) → Triangle(x)),success,2025-12-15T14:10:59.945183+00:00
31,A sport that is played between two teams on a field with a ball and the objective is to score points by getting the ball into the opposing team's goal is a goal-based sport.,∀x (Sport(x) → (((Team(y) ∧ Field(z)) ∧ Ball(z)) → ScorePoints(x))),success,2025-12-15T14:11:06.492487+00:00
32,An orchestra performs a concert with musicians playing various instruments.,"∃o (Performs(o,c) ∧ Plays(m,i))",success,2025-12-15T14:11:12.227331+00:00
33,A detective solves crimes by gathering evidence and analyzing clues.,"∀d (Detective(d) → (((Evidence(e) ∧ Clue(cl)) ∧ Gathers(d,e)) ∧ Analyzes(d,cl)))",success,2025-12-15T14:11:18.789767+00:00
34,Some paintings are abstract and created by famous artists.,"∃y ∃x (Painting(x) ∧ (Abstract(x) ∧ CreatedBy(x,y)))",success,2025-12-15T14:11:23.399431+00:00
35,"An instrument is either a string instrument or a wind instrument, but not both.",∀x ((StringInstrument(x) ∨ WindInstrument(x)) → ¬(StringInstrument(x) ∧ WindInstrument(x))),success,2025-12-15T14:11:27.805232+00:00
36,Mammals give birth to live young and nurse their offspring with milk produced by the mother.,∀x ((GivesBirthToLiveYoung(x) ∧ Nurses(x)) ∧ ProducesMilk(x)),success,2025-12-15T14:11:31.883906+00:00
37,"A vaccine that is effective provides immunity, reduces the risk of infection, and often contributes to herd immunity in a population.",∀v (Effective(v) → ((ProvidesImmunity(v) ∧ ReducesRiskOfInfection(v)) ∧ ContributesToHerdImmunity(v))),success,2025-12-15T14:11:37.212114+00:00
38,"A satellite orbits Earth, transmitting and receiving data, enabling services such as weather forecasting, global positioning, and communication.","((Orbits(s,Earth) ∧ (TransmitsData(s) ∧ ReceivesData(s))) ∧ ((WeatherForecasting() ∨ GlobalPositioning()) ∨ Communication()))",success,2025-12-15T14:11:45.305427+00:00
39,A flower blooms in spring if it requires a specific amount of sunlight and warmth for its growth and development.,∀x ((RequiresSunlight(x) ∧ RequiresWarmth(x)) → BloomsInSpring(x)),success,2025-12-15T14:11:49.616359+00:00
40,"A tree loses its leaves in the autumn, while an evergreen tree retains its leaves throughout the year.",((Tree(x) → (LosesLeaves(x) ∧ Autumn(x))) ∧ (EvergreenTree(x) → (RetainsLeaves(x) ∧ ThroughoutYear(x)))),success,2025-12-15T14:11:55.446537+00:00
41,"A smartphone can be used for communication, entertainment, and productivity.","∀x (Smartphone(x) → ((CanBeUsedFor(x,Communication) ∧ CanBeUsedFor(x,Entertainment)) ∧ CanBeUsedFor(x,Productivity)))",success,2025-12-15T14:11:59.648404+00:00
42,"When a bird migrates, it travels long distances, often across continents, and usually follows a seasonal pattern to find resources.",∀x (Migrates(x) → (((TravelsLongDistances(x) ∧ AcrossContinents(x)) ∧ FollowsSeasonalPattern(x)) ∧ FindsResources(x))),success,2025-12-15T14:12:06.508828+00:00
43,"An electron can be found in either an orbital or a suborbital, but not in both simultaneously.",∀x ((Electron(x) → (FoundInOrbital(x) ∨ FoundInSuborbital(x))) ∧ ((FoundInOrbital(x) ∧ FoundInSuborbital(x)) → ¬(FoundInOrbital(x) ∧ FoundInSuborbital(x)))),success,2025-12-15T14:12:11.617288+00:00
44,"A coat is appropriate for cold weather if it is made of wool, has a hood, and is insulated.","∀x (((MadeOf(x,Wool) ∧ HasHood(x)) ∧ Insulated(x)) → AppropriateFor(x,ColdWeather))",success,2025-12-15T14:12:16.266412+00:00
45,"A type of music that originated in African American communities, features improvisation, and uses syncopation is called jazz.","∃x (((OriginatedIn(x,AfricanAmericanCommunities) ∧ Features(x,Improvisation)) ∧ Uses(x,Syncopation)) → Called(x,Jazz))",success,2025-12-15T14:12:21.242672+00:00
46,A country has a coastline if it is bordered by an ocean or a sea.,"∀x (Country(x) → ∃y (BorderedBy(x,y) → (Ocean(y) ∨ Sea(y))))",success,2025-12-15T14:12:25.851934+00:00
47,A prism disperses white light into a spectrum of colors.,"∃x (Disperses(x,WhiteLight) ∧ SpectrumOfColors(x))",success,2025-12-15T14:12:29.038451+00:00
48,A book becomes a bestseller when it has a high sales volume and positive reviews.,∀x ∃y ((High(SalesVolume(y)) ∧ PositiveReviews(y)) → Bestseller(x)),success,2025-12-15T14:12:33.744142+00:00
49,"Farmers grow crops, while miners extract minerals.","((Farmer(x) ∧ Grows(x,y)) ∧ (Miner(x) ∧ Extracts(x,y)))",success,2025-12-15T14:12:38.376191+00:00
50,"If an individual participates in community events, they are more likely to have a strong sense of belonging and connection with their community.",∀x (ParticipatesInCommunityEvents(x) → (StrongSenseOfBelonging(x) ∧ ConnectionWithCommunity(x))),success,2025-12-15T14:12:41.837278+00:00
